Date,Close,High,Low,Open,Volume
2018-01-02,40.30417251586914,40.31353343162475,39.60225378021744,39.812831542998936,102223600
2018-01-03,40.29716110229492,40.83998007240303,40.23399097485094,40.367353702932206,118071600
2018-01-04,40.48434066772461,40.58728934054545,40.26206707148543,40.36969263296612,89738400
2018-01-05,40.94525909423828,41.03182792816311,40.48901263550257,40.58026192724971,94640000
2018-01-08,40.79317092895508,41.0879754571315,40.69489918275364,40.79317092895508,82271200
2018-01-09,40.78849792480469,40.959297149866934,40.5732432755148,40.83997225073741,86336000
2018-01-10,40.77914047241211,40.78148248660823,40.477316963030724,40.51475348873273,95839600
2018-01-11,41.010780334472656,41.05991622716522,40.825943266073914,40.84933842009661,74670800
2018-01-12,41.43426513671875,41.49743882718429,41.09734354776063,41.22134891451,101672400
2018-01-16,41.223697662353516,41.972410443367636,41.21199829996464,41.62378943698637,118263600
2018-01-17,41.9045524597168,41.939646970546875,40.961641853884466,41.21432947214807,137547200
2018-01-18,41.941986083984375,42.13852605820033,41.70567471028857,41.96772324905173,124773600
2018-01-19,41.75481414794922,42.01686270900164,41.50914183689063,41.78990866232449,129700400
2018-01-22,41.4132080078125,41.59570660494731,41.31962026523079,41.48340059982055,108434400
2018-01-23,41.42256546020508,41.98410262756551,41.37109470075366,41.48340070616833,130756400
2018-01-24,40.76274871826172,41.48338549826048,40.52409542037081,41.471686142160905,204420400
2018-01-25,40.03511047363281,40.93356571913233,39.899405738092184,40.83061705285022,166116000
2018-01-26,40.128700256347656,40.24334828963391,39.78944018537663,40.24334828963391,156572000
2018-01-29,39.29810333251953,39.81284317502581,39.08986752290882,39.81284317502581,202561600
2018-01-30,39.06645202636719,39.16003975023138,38.53533258957372,38.72953050822759,184192800
2018-01-31,39.17409133911133,39.41040631577507,38.95649819798095,39.04306705153036,129915600
2018-02-01,39.255977630615234,39.452514033583086,39.01732424407224,39.11325400152449,188923200
2018-02-02,37.55264663696289,39.026676471320826,37.45905891452289,38.83949745629807,346375200
2018-02-05,36.61441421508789,38.343473510914,36.49976622822229,37.22508352363501,290954000
2018-02-06,38.14460754394531,38.30604944131928,36.03183221340703,36.22603017907835,272975200
2018-02-07,37.32804489135742,38.231180670017345,37.21808088344142,38.158649622816874,206434400
2018-02-08,36.3008918762207,37.66963468893804,36.27281627231443,37.5035123688258,217562000
2018-02-09,36.74491500854492,37.0926057952475,35.295416555680326,36.8999676132487,282690400
2018-02-12,38.224945068359375,38.50215699971971,37.003322717140904,37.235901563137254,243278000
2018-02-13,38.60787582397461,38.704196688200184,37.9759220541177,38.046400822690046,130196800
2018-02-14,39.31970977783203,39.359646916272006,38.26489040714786,38.30247598263867,162579600
2018-02-15,40.6400146484375,40.66350519277741,39.70265482104596,39.888245535544634,204588800
2018-02-16,40.50843048095703,41.06990903078648,40.35338150172052,40.491987467345076,160704400
2018-02-20,40.37217712402344,40.938348059316176,40.27115672319348,40.419161773030865,135722000
2018-02-21,40.188941955566406,40.905466051719024,40.17484333201391,40.60241196228296,149886400
2018-02-22,40.52487564086914,40.86551880612801,40.33928503404216,40.36042758709232,123967600
2018-02-23,41.22966384887695,41.264901443927855,40.76920562691521,40.799747265758924,135249600
2018-02-26,42.044857025146484,42.14352586821339,41.396460234407215,41.429349848762854,152648800
2018-02-27,41.90860366821289,42.39959996000254,41.85457149250912,42.07540332108041,155712400
2018-02-28,41.84516906738281,42.43248618806671,41.82872605204726,42.1129855310267,151128400
2018-03-01,41.11220932006836,42.235159665006215,40.56248121005949,41.943849005617665,195208000
2018-03-02,41.39646530151367,41.41760785946614,40.5131379769265,40.595363815229945,153816000
2018-03-05,41.539772033691406,41.75590432996107,40.99943950066743,41.16153961904458,113605600
2018-03-06,41.50453567504883,41.87572061331402,41.37767672423165,41.795846326329126,95154000
2018-03-07,41.11924743652344,41.311889179650166,40.94070431594449,41.09810487975081,126814000
2018-03-08,41.567955017089844,41.61024012699742,41.128642980010106,41.22496025858815,95096400
2018-03-09,42.282127380371094,42.28682692041123,41.67366778667732,41.80757779258068,128740800
2018-03-12,42.69090270996094,42.84830325175137,42.33616449649583,42.35495548786584,128828400
2018-03-13,42.279788970947266,43.10908053311904,42.108293360008226,42.895296221645985,126774000
2018-03-14,41.92036056518555,42.40900899345874,41.77235545711568,42.362024325965244,117473600
2018-03-15,41.96968460083008,42.34322105481381,41.83343016846324,41.934447003614444,90975200
2018-03-16,41.821678161621094,42.080095541605395,41.72770527232746,41.969679637122375,157618800
2018-03-19,41.18267059326172,41.69246134182931,40.797390767470155,41.65722375413747,133787200
2018-03-20,41.1685905456543,41.535075929863396,41.0981117599141,41.1685905456543,78597600
2018-03-21,40.23591995239258,41.13333859622522,40.23356838983998,41.1215915375593,148219600
2018-03-22,39.667396545410156,40.56716314673629,39.60866483810851,39.937560965118145,165963200
2018-03-23,38.748844146728516,39.91877912576028,38.748844146728516,39.55934124916197,164115200
2018-03-26,40.58831024169922,40.66583652732721,39.101222947632834,39.48415483536228,150164800
2018-03-27,39.54758071899414,41.14743181798112,39.213985058848884,40.802089099688025,163690400
2018-03-28,39.11063003540039,39.942273284293705,38.80757590603423,39.29152475547946,166674000
2018-03-29,39.41603469848633,40.348694771240936,39.20929788093871,39.42308221865727,153594000
2018-04-02,39.1576042175293,39.688541173485575,38.63841790528605,39.148208721137635,150347200
2018-04-03,39.559329986572266,39.643903791381845,38.734738078203186,39.38313485861057,121112000
